sfari_humanID,sfari_geneticCategory,sfari_geneScore,sfari_syndromic,sfari_numberReports
ENSG00000204435,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000066032,Syndromic,S,1,1
ENSG00000183230,"Rare Single Gene Mutation, Genetic Association",3,0,16
ENSG00000168036,"Rare Single Gene Mutation, Syndromic",1,0,27
ENSG00000169862,"Rare Single Gene Mutation, Functional",2,0,8
ENSG00000077063,"Rare Single Gene Mutation, Syndromic, Functional",2,0,10
ENSG00000036257,"Rare Single Gene Mutation, Genetic Association, Functional",1,0,25
ENSG00000044090,Rare Single Gene Mutation,2,0,6
ENSG00000257923,"Rare Single Gene Mutation, Functional",2,0,6
ENSG00000111249,"Rare Single Gene Mutation, Syndromic",S,1,8
ENSG00000168329,"Rare Single Gene Mutation, Functional",3,0,3
ENSG00000273749,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,18
ENSG00000155833,Rare Single Gene Mutation,3,0,3
ENSG00000135929,"Rare Single Gene Mutation, Syndromic",S,1,5
ENSG00000134780,"Rare Single Gene Mutation, Functional",3,0,5
ENSG00000070190,Rare Single Gene Mutation,2,0,2
ENSG00000132437,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000215301,"Rare Single Gene Mutation, Syndromic, Functional",1,1,32
ENSG00000184735,Rare Single Gene Mutation,3,0,3
ENSG00000177030,"Rare Single Gene Mutation, Syndromic",1,1,21
ENSG00000139726,"Rare Single Gene Mutation, Functional",2,0,4
ENSG00000100150,"Rare Single Gene Mutation, Syndromic",S,1,15
ENSG00000172893,"Rare Single Gene Mutation, Syndromic",1,1,18
ENSG00000132153,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000160305,"Rare Single Gene Mutation, Functional",1,0,10
ENSG00000113742,Functional,2,0,1
ENSG00000160882,Syndromic,3,0,4
ENSG00000085788,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,4
ENSG00000174243,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000151240,Rare Single Gene Mutation,2,0,4
ENSG00000162946,"Rare Single Gene Mutation, Syndromic, Genetic Association",2,0,34
ENSG00000150764,"Rare Single Gene Mutation, Functional",3,0,4
ENSG00000075711,Rare Single Gene Mutation,3,0,5
ENSG00000150672,Rare Single Gene Mutation,2,0,2
ENSG00000132535,"Rare Single Gene Mutation, Syndromic, Functional",1,0,16
ENSG00000181744,Rare Single Gene Mutation,3,0,3
ENSG00000106665,Genetic Association,3,0,1
ENSG00000187323,Genetic Association,2,0,3
ENSG00000170579,"Rare Single Gene Mutation, Functional",2,0,11
ENSG00000198010,Rare Single Gene Mutation,3,0,15
ENSG00000116544,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,10
ENSG00000198719,"Rare Single Gene Mutation, Syndromic",S,1,2
ENSG00000115844,Genetic Association,3,0,11
ENSG00000064195,Rare Single Gene Mutation,2,0,3
ENSG00000006377,Rare Single Gene Mutation,3,0,9
ENSG00000198947,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,40
ENSG00000104936,"Rare Single Gene Mutation, Syndromic",1,1,10
ENSG00000185800,Rare Single Gene Mutation,3,0,2
ENSG00000104093,Rare Single Gene Mutation,3,0,6
ENSG00000197653,Rare Single Gene Mutation,3,0,7
ENSG00000187775,Rare Single Gene Mutation,3,0,7
ENSG00000158486,Rare Single Gene Mutation,3,0,6
ENSG00000187957,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000119772,"Rare Single Gene Mutation, Syndromic, Genetic Association",1,1,20
ENSG00000150760,Rare Single Gene Mutation,3,0,3
ENSG00000128512,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,9
ENSG00000107099,Rare Single Gene Mutation,2,0,11
ENSG00000175283,Syndromic,S,1,2
ENSG00000175497,Rare Single Gene Mutation,2,0,11
ENSG00000254986,Rare Single Gene Mutation,3,0,3
ENSG00000197635,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000130226,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,25
ENSG00000188641,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,13
ENSG00000092964,"Rare Single Gene Mutation, Genetic Association, Functional",1,0,14
ENSG00000113657,Rare Single Gene Mutation,3,0,2
ENSG00000184845,"Genetic Association, Functional",3,0,4
ENSG00000149295,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000151577,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000171587,"Rare Single Gene Mutation, Genetic Association, Functional",1,0,14
ENSG00000151914,Rare Single Gene Mutation,3,0,8
ENSG00000149599,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000161202,"Rare Single Gene Mutation, Functional",3,0,3
ENSG00000170788,Rare Single Gene Mutation,3,0,2
ENSG00000133665,,3,0,1
ENSG00000197102,"Rare Single Gene Mutation, Syndromic",1,0,21
ENSG00000157540,"Rare Single Gene Mutation, Syndromic, Functional",1,1,56
ENSG00000108001,"Rare Single Gene Mutation, Syndromic",1,1,13
ENSG00000101210,"Rare Single Gene Mutation, Syndromic",S,1,15
ENSG00000132294,Rare Single Gene Mutation,2,0,5
ENSG00000179388,Rare Single Gene Mutation,3,0,2
ENSG00000181090,"Rare Single Gene Mutation, Syndromic, Functional",1,1,31
ENSG00000130811,Rare Single Gene Mutation,1,0,4
ENSG00000151247,"Rare Single Gene Mutation, Genetic Association",3,0,12
ENSG00000107105,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
ENSG00000196361,Rare Single Gene Mutation,1,0,5
ENSG00000109911,"Rare Single Gene Mutation, Genetic Association",2,0,7
ENSG00000164778,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,25
ENSG00000100393,"Rare Single Gene Mutation, Syndromic",1,1,18
ENSG00000183495,Rare Single Gene Mutation,2,0,6
ENSG00000158636,"Rare Single Gene Mutation, Functional",2,0,4
ENSG00000135999,Rare Single Gene Mutation,3,0,4
ENSG00000133216,Rare Single Gene Mutation,3,0,6
ENSG00000261150,Rare Single Gene Mutation,3,0,5
ENSG00000136541,Rare Single Gene Mutation,3,0,1
ENSG00000140009,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
ENSG00000119715,"Rare Single Gene Mutation, Genetic Association",3,0,7
ENSG00000105379,Rare Single Gene Mutation,2,0,4
ENSG00000180104,Rare Single Gene Mutation,3,0,1
ENSG00000070367,Rare Single Gene Mutation,3,0,2
ENSG00000138190,Rare Single Gene Mutation,3,0,1
ENSG00000144036,Rare Single Gene Mutation,3,0,4
ENSG00000182197,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000112851,Rare Single Gene Mutation,2,0,6
ENSG00000114867,"Rare Single Gene Mutation, Functional",3,0,2
ENSG00000134759,Syndromic,S,1,6
ENSG00000197594,Rare Single Gene Mutation,3,0,4
ENSG00000170323,Rare Single Gene Mutation,3,0,2
ENSG00000164687,"Rare Single Gene Mutation, Functional",3,0,7
ENSG00000185448,Rare Single Gene Mutation,3,0,1
ENSG00000130244,Rare Single Gene Mutation,3,0,2
ENSG00000198690,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,3
ENSG00000083857,"Rare Single Gene Mutation, Functional",3,0,7
ENSG00000166147,Rare Single Gene Mutation,2,0,11
ENSG00000138081,"Rare Single Gene Mutation, Syndromic",S,1,7
ENSG00000163833,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000181036,Rare Single Gene Mutation,3,0,4
ENSG00000153266,"Rare Single Gene Mutation, Genetic Association",3,0,9
ENSG00000171560,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000189283,"Rare Single Gene Mutation, Genetic Association",3,0,12
ENSG00000197977,Genetic Association,3,0,1
ENSG00000157554,Genetic Association,3,0,1
ENSG00000112787,Syndromic,S,1,1
ENSG00000165355,Genetic Association,3,0,3
ENSG00000129682,Syndromic,S,1,1
ENSG00000102466,Rare Single Gene Mutation,3,0,1
ENSG00000102081,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,44
ENSG00000176165,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,44
ENSG00000114861,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,1,56
ENSG00000128573,"Rare Single Gene Mutation, Genetic Association, Functional",1,0,48
ENSG00000111816,"Rare Single Gene Mutation, Genetic Association",3,0,3
ENSG00000169933,"Rare Single Gene Mutation, Syndromic",S,1,6
ENSG00000136928,"Rare Single Gene Mutation, Syndromic, Functional",S,1,13
ENSG00000011677,Rare Single Gene Mutation,S,1,3
ENSG00000109158,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,7
ENSG00000166206,"Rare Single Gene Mutation, Genetic Association",1,0,41
ENSG00000182256,Genetic Association,2,0,9
ENSG00000144278,Rare Single Gene Mutation,3,0,4
ENSG00000158089,"Rare Single Gene Mutation, Genetic Association",3,0,5
ENSG00000130035,Rare Single Gene Mutation,2,0,2
ENSG00000148935,Genetic Association,3,0,1
ENSG00000171766,Syndromic,S,1,2
ENSG00000119125,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000278311,Rare Single Gene Mutation,2,0,2
ENSG00000146830,Rare Single Gene Mutation,1,0,12
ENSG00000204120,Rare Single Gene Mutation,1,0,8
ENSG00000174332,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000124767,"Rare Single Gene Mutation, Genetic Association",3,0,10
ENSG00000101958,"Rare Single Gene Mutation, Functional",3,0,15
ENSG00000087460,Rare Single Gene Mutation,3,0,8
ENSG00000185838,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000076716,Rare Single Gene Mutation,2,0,2
ENSG00000077782,Genetic Association,2,0,1
ENSG00000109536,Rare Single Gene Mutation,2,0,1
ENSG00000165060,Rare Single Gene Mutation,3,0,1
ENSG00000145864,Rare Single Gene Mutation,1,0,3
ENSG00000164574,Genetic Association,2,0,5
ENSG00000143641,Syndromic,S,1,2
ENSG00000131095,Rare Single Gene Mutation,1,0,1
ENSG00000127955,"Rare Single Gene Mutation, Syndromic",1,0,4
ENSG00000183098,"Rare Single Gene Mutation, Genetic Association",3,0,8
ENSG00000115159,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000171723,Rare Single Gene Mutation,2,0,8
ENSG00000170775,Rare Single Gene Mutation,3,0,2
ENSG00000164604,"Rare Single Gene Mutation, Genetic Association",3,0,4
ENSG00000233276,Genetic Association,3,0,5
ENSG00000155511,Rare Single Gene Mutation,2,0,6
ENSG00000120251,Rare Single Gene Mutation,1,0,5
ENSG00000182771,"Rare Single Gene Mutation, Genetic Association",2,0,6
ENSG00000152208,"Rare Single Gene Mutation, Syndromic, Genetic Association",3,0,9
ENSG00000215045,Rare Single Gene Mutation,3,0,4
ENSG00000164418,"Rare Single Gene Mutation, Genetic Association",2,0,20
ENSG00000163873,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000149403,"Rare Single Gene Mutation, Functional",3,0,5
ENSG00000105737,Rare Single Gene Mutation,2,0,9
ENSG00000176884,"Rare Single Gene Mutation, Functional",1,0,18
ENSG00000183454,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,47
ENSG00000273079,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1,0,65
ENSG00000155974,Rare Single Gene Mutation,2,0,13
ENSG00000168959,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,8
ENSG00000196277,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,15
ENSG00000263001,"Rare Single Gene Mutation, Genetic Association",3,0,6
ENSG00000152402,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000172534,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000164588,"Rare Single Gene Mutation, Genetic Association",S,1,9
ENSG00000068024,"Rare Single Gene Mutation, Syndromic, Genetic Association",S,1,16
ENSG00000147099,"Rare Single Gene Mutation, Syndromic",S,1,9
ENSG00000124635,Rare Single Gene Mutation,3,0,3
ENSG00000115677,Rare Single Gene Mutation,1,0,5
ENSG00000173064,Rare Single Gene Mutation,1,0,8
ENSG00000138411,"Rare Single Gene Mutation, Syndromic",2,0,13
ENSG00000165478,"Rare Single Gene Mutation, Syndromic, Functional",S,1,11
ENSG00000128731,Rare Single Gene Mutation,S,1,8
ENSG00000010818,"Rare Single Gene Mutation, Syndromic, Functional",1,0,9
ENSG00000127124,"Rare Single Gene Mutation, Genetic Association",2,0,6
ENSG00000223865,"Rare Single Gene Mutation, Genetic Association",3,0,2
ENSG00000126945,"Rare Single Gene Mutation, Syndromic",1,0,16
