"refseq"	"group"
"NM_007764"	"Depleted"
"NM_007764"	"Depleted"
"NM_001277231"	"Depleted"
"NM_001277231"	"Depleted"
"NM_007764"	"Depleted"
"NM_007764"	"Depleted"
"NM_007764"	"Depleted"
"NM_001360002"	"Depleted"
"NM_001360002"	"Depleted"
"NM_001360002"	"Depleted"
"NM_172665"	"Depleted"
"NM_172665"	"Depleted"
"NM_172665"	"Depleted"
"NM_026964"	"Enriched"
"NM_026964"	"Enriched"
"NM_026964"	"Enriched"
"NM_026964"	"Enriched"
"NM_007922"	"Depleted"
"NM_007922"	"Depleted"
"NM_007922"	"Depleted"
"NM_007922"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_016813"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001276704"	"Depleted"
"NM_001082532"	"Enriched"
"NM_001082532"	"Enriched"
"NM_001082532"	"Enriched"
"NM_001082532"	"Enriched"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_001166394"	"Depleted"
"NM_028888"	"Depleted"
"NM_028888"	"Depleted"
