motif_id	motif_rbps	absolute_hits	relative_hits	total_sites	one_hit	two_hits	three_hits	four_hits	five_hits	more_hits
M126_0.6	SRSF4, SRSF6	13631	0.000494083359920535	27588462	3843	1712	821	404	187	270
M127_0.6	ELAVL1, ELAVL3	26993	0.00097841626691622	27588462	3583	2108	1269	903	614	1741
M136_0.6	SNRPB2	6921	0.000251038913352981	27569431	3681	1020	248	69	20	16
M140_0.6	ENOX1, ENOX2	9678	0.000350798823073211	27588462	3948	1396	458	206	88	60
M141_0.6	ESRP2, ESRP1	12563	0.0004553715245163	27588462	4580	1772	689	303	133	99
M142_0.6	RBM42	3263	0.000118274081389532	27588462	2206	369	78	15	3	2
M143_0.6	RBMS2, RBMS1, ENSG00000213250	6750	0.000244667499043622	27588462	3102	948	308	112	42	34
M144_0.6	PABPC1L, PABPC3	16427	0.000595430075079937	27588462	4198	1882	996	533	309	360
M145_0.6	RBM5	8467	0.00030690366139294	27588462	3883	1178	416	150	42	34
M146_0.6	PABPC1, PABPC1L, ENSG00000250177	31417	0.00113877315814125	27588462	2648	1514	941	732	620	3378
M147_0.6	CNOT4	10311	0.000373743197427968	27588462	4115	1507	482	209	93	87
M148_0.6	PABPN1, PABPN1L	13906	0.000504051295066757	27588462	4302	1966	799	375	186	169
M149_0.6	CPEB3, CPEB4	38677	0.00140192664600151	27588462	1817	1404	1014	835	690	4844
M150_0.6	RALY	34236	0.00124095355514925	27588462	1750	1351	949	753	680	4105
M151_0.6	HNRNPH2, HNRNPH1, HNRNPF	11997	0.000434855701633531	27588462	4164	1547	716	279	131	164
M152_0.6	FXR1	4337	0.000157311915505257	27569431	2695	559	117	27	8	5
M153_0.6	LIN28A, LIN28B	4916	0.000178190433377547	27588462	3057	633	145	27	8	2
M154_0.6	SRSF1	12019	0.000435653136445228	27588462	3888	1670	652	375	114	153
M155_0.6	ZNF638	8905	0.000322779863553104	27588462	3955	1273	454	138	59	39
M156_0.6	TIA1	36606	0.00132685903259123	27588462	2126	1397	1019	801	687	4398
M157_0.6	CELF3, BRUNOL5	28383	0.00102879964820076	27588462	3514	2226	1230	913	530	2085
M158_0.6	HNRNPCL1	38784	0.00140580507894931	27588462	2186	1435	981	890	731	4714
M159_0.6	A2BP1, RBFOX2, RBFOX3	8150	0.000295413350697114	27588462	3558	1176	404	162	50	26
M160_0.6	KHDRBS1	21292	0.000771771909575822	27588462	5475	2297	1244	739	350	557
M161_0.6	RBM6	7638	0.000276854867806694	27588462	3883	1044	349	95	29	19
M162_0.6	PABPC5	12524	0.000453957890077381	27588462	4019	1683	738	325	172	153
M163_0.6	IGF2BP3	20570	0.000745601548937378	27588462	3463	1666	901	538	321	1463
M164_0.6	RBMS2, RBMS3, ENSG00000213250	15772	0.000571688265913482	27588462	2994	1276	759	466	335	882
M167_0.6	MSI1, MSI2	4650	0.000168548721563384	27588462	2706	597	151	38	21	8
M168_0.6	SFPQ, PSPC1	7868	0.000285191686292625	27588462	3763	1148	325	121	49	21
M169_0.6	hnRNPLL	17628	0.000638962766391254	27588462	3406	1355	732	479	238	1242
M170_0.6	RBM38	22904	0.000830202133051128	27588462	3775	1963	1044	639	431	1472
M175_0.6	RBM24, RBM38	14483	0.000524965835355374	27588462	4275	1934	882	421	205	197
M176_0.6	KHDRBS2	19356	0.000701597646146422	27588462	6357	2575	1054	488	265	282
M177_0.6	PCBP4, PCBP1, PCBP3	8255	0.000299219289571126	27588462	3992	1197	349	138	24	30
M178_0.6	BRUNOL6, CELF3	15928	0.000577342803669157	27588462	4579	2104	988	483	245	204
M188_0.6	PCBP4, PCBP3	16878	0.000612199794765442	27569431	4702	2244	972	543	248	272
M195_0.6	SF3B4	10174	0.000368777353373305	27588462	4003	1449	572	228	61	68
M201_0.6	SF3B4	39280	0.0014237836092494	27588462	2091	1301	1100	883	700	4851
M205_0.6	SF3B4	8226	0.000298373949030722	27569431	4019	1195	374	115	28	19
